categoria;razon_social;nit;departamento;municipio;direccion;correo
Comidas;EDIFICIO CABRERA 86 S A S;860060676;BOGOTA;BOGOTA D.C.;CARRERA 10 # 86 -21;gguillen2000@yahoo.com
Comidas;GRUPO HOLANDES S.A.S;901945034;BOGOTA;BOGOTA D.C.;CR 2 B NO. 66 28 AP 1305;tobias.rijnsdorp@gmail.com
Comidas;SERVICIOS ALIMENTICIOS DE COLOMBIA SACOL LTDA;830099597;BOGOTA;BOGOTA D.C.;Calle 25 B No. 74-34;azambrano31@hotmail.com
Comidas;GRUPO PARCE SAS;901614758;BOGOTA;BOGOTA D.C.;CRA 47 A # 98-29;fabianboteroredes@gmail.com
Comidas;GOURMET SABE SERVICE E. U.;900275198;BOGOTA;BOGOTA D.C.;carrera 52B NO. 40A - 13 SUR;gourmet.sabe.service@gmail.com
Comidas;PAN DORADO 80 S.A.S;901739782;BOGOTA;BOGOTA D.C.;Avenida Calle 80 73 B 04;pandorado80@gmail.com
Comidas;FOODING COLOMBIA S.A.S;901862349;BOGOTA;BOGOTA D.C.;Transversal 100 A 80 A 20 LOCAL 3-024;fooding.col@gmail.com
Comidas;DEAMBULANTE AMB S.A.S;901987031;BOGOTA;BOGOTA D.C.;Calle 22d #72-41;ambdeambulante@gmail.com
Comidas;REIKU NO SEKAI MAID CAFE SAS;900650155;BOGOTA;BOGOTA D.C.;CR 71 D NO. 95 A 25 TO 2 AP 609;ruize.frasesores@gmail.com
Comidas;ORBIS FOOD S.A.S;901473440;BOGOTA;BOGOTA D.C.;Carrera 18 C 109 35;amapaali@yahoo.es
Comidas;MARIA ELISA MENDOZA PETIT GOURMET S A S;900481193;BOGOTA;BOGOTA D.C.;CR 7 # 116 - 05    P 6;elisa-mendoza@hotmail.com
Comidas;MCALE SAS;901880531;BOGOTA;BOGOTA D.C.;DG 68 NO. 12 28;directivomcale@gmail.com
Comidas;RUOTA DI PASTA SAS;901807358;BOGOTA;BOGOTA D.C.;CR 15 90 50;ruotadipasta@hotmail.com
Comidas;PRUDENCIA RESTAURANTE S.A.S;901289023;BOGOTA;BOGOTA D.C.;CR 2 NO. 11 34;prudenciarestaurante@gmail.com
Comidas;SAZON OCULTO CAPITAL S.A.S;901915979;BOGOTA;BOGOTA D.C.;CR 52 NO. 128 B 09 P 2;sazonocultosas@gmail.com
Comidas;INVERSIONES BEJARANO ECHEVERRY S A S SIGLA INVEJAR;900733222;BOGOTA;BOGOTA D.C.;CR 46 NO. 128 C 63 LC 201;wilsonbe79@gmail.com
Comidas;INVERSIONES NOWFAL S.A.S;901963044;BOGOTA;BOGOTA D.C.;AV JIMENEZ 4-45;juandesaleh@aol.com
Comidas;GRUPO FABULOSO SAS;901447847;BOGOTA;BOGOTA D.C.;CR 17 88 23 OF 103;nicolas.wiesner.sabogal@gmail.com
Comidas;TRES VECES TRES SAS;900956260;BOGOTA;BOGOTA D.C.;CL 25 C NO. 37 A 16;wantriba@hotmail.com
Comidas;MX COMPANY SAS;901745770;BOGOTA;BOGOTA D.C.;CR 43 A NO 24 A 49;manager.real@hotmail.com
Comidas;DISTRIBUIDORA DE SERVICIOS LOGISTICOS DE COLOMBIA S.A.S;901310112;BOGOTA;BOGOTA D.C.;CR 81 B NO. 6 B 50 CA 4;diseralogsas@gmail.com
Comidas;LEYLOU CATERING EVENTOS SAS;901737341;BOGOTA;BOGOTA D.C.;CL 77A NO.20C 69;eventosleylou@gmail.com
Comidas;DEMICASA S.A.S;901951082;BOGOTA;BOGOTA D.C.;CR 60 NO. 24 09 LC 342 / 344;magnolita39@hotmail.com
Comidas;CAMORÍ S.A.S.;901267013;BOGOTA;BOGOTA D.C.;AK 60 NO 22 99 TO 3 AP 1304;yessicaortizar@gmail.com
Comidas;INVERSIONES ANALEY S.A.S;901742953;BOGOTA;BOGOTA D.C.;CL 93 B NO. 16 08 OF 215;mjaramillo@lfcglobal.com
Comidas;GALO PIZZERÍA Y PASTELERIA ARTESANAL S.A.S.;901965351;BOGOTA;BOGOTA D.C.;CR 4 NO. 12 B - 27 CANDELARIA CENTRO;iv4ng4briel@gmail.com
Comidas;SALON FANTASIA GOURMET SAS;901460034;BOGOTA;BOGOTA D.C.;CL 15 NO. 10 97 P 2;salonfantasiarest1097@gmail.com
Comidas;HOTEL OCEANIA CENTRO INTERNACIONAL S.A.S.;900275833;BOGOTA;BOGOTA D.C.;CR 13 NO. 24 A 48;gerencia@hotelesoceania.com
Comidas;RFB S A S;901008027;BOGOTA;BOGOTA D.C.;CL 66 A 96 A 16;rfbsas2016@gmail.com
Comidas;EVENTOS BY MARIA EVA SAS;901279465;BOGOTA;BOGOTA D.C.;CR 11 A NO. 17 37 SUR;abcbanquetesyponques@hotmail.com
Comidas;CENBROS SAS;900867815;BOGOTA;BOGOTA D.C.;CL 18 NO. 18 10 SUR;vfreydellp@gmail.com
Comidas;TOPIS S.A.S.;901818179;BOGOTA;BOGOTA D.C.;CR 13 NO 85 - 35;sofiaescobaru97@gmail.com
Comidas;GAUDÍ GASTRONOMÍA SAS;901686096;BOGOTA;BOGOTA D.C.;CR 4 A NO. 27 54;diazfa@yahoo.com
Comidas;KEPALETA S.A.S;901903207;BOGOTA;BOGOTA D.C.;CL 26 NO. 62 47;kepaletag@gmail.com
Comidas;PICOLINA PEGA Y GALLINA S.A.S;901694973;BOGOTA;BOGOTA D.C.;CR 21 NO. 8 41;picolinalagallina@gmail.com
Comidas;PANDEAZUCAR S A S;900467846;BOGOTA;BOGOTA D.C.;AV CRA 15 # 170 65 INT 4 APTO 513;marye_salero@hotmail.com
Comidas;MIRA TUS FINANZAS LTDA;901247033;BOGOTA;BOGOTA D.C.;CL 67 A NO. 56 21;miratusfinanzas@gmail.com
Comidas;INVERSIONES QUINTERO NAVAS MONSALVE LOPEZ & CIA S.C.A.;901159074;BOGOTA;BOGOTA D.C.;CR 11 NO. 86 32 OF 304;contacto@qnabogados.com
Comidas;ELSUB SAS;901659976;BOGOTA;BOGOTA D.C.;AV JIMENEZ NO. 7 17;elsubsas@gmail.com
Comidas;EN LA OLLA S.A.S;901914694;BOGOTA;BOGOTA D.C.;Carrera 16a # 86a -15;perryrodrigo@gmail.com
Comidas;GOURMET TENTACION S.A.S;900744732;BOGOTA;BOGOTA D.C.;CLL 47 B # 24 B 33 SUR LOCAL 21 - 46;contabilidad.gourmett@gmail.com
Comidas;GLS TALENT SAS;901686127;BOGOTA;BOGOTA D.C.;CR 106 B NO. 143 62;servicioalclienteglstalent@gmail.com
Comidas;CAFE & CREPES LTDA;860351806;BOGOTA;BOGOTA D.C.;DIAG 108A 8-11;cafeycrepes@hotmail.com
Comidas;INVERSIONES KAFFA BUNNA S.A.S.;901658228;BOGOTA;BOGOTA D.C.;cra 11 no 97 28 local 4;juanavareyess@gmail.com
Comidas;WEAVING SECRETS MEALS SAS;901021170;BOGOTA;BOGOTA D.C.;CR 3 NO. 18 55 LC 101;jennycas0927@hotmail.com
Comidas;BINSER COLOMBIA SAS;901459653;BOGOTA;BOGOTA D.C.;CL 120 A NO. 7 36;binsercolombia@gmail.com
Comidas;JC EVENTOS Y GASTRONOMIA S.A.S;901752516;BOGOTA;BOGOTA D.C.;Carrera 18A 150 42;jcgastronomia18@gmail.com
Comidas;GRUPO EMPRESARIAL TANTONELLA SAS;901855707;BOGOTA;BOGOTA D.C.;CR 54 NO. 153 - 75 TO 2 APTO 813;migue.terreros@gmail.com
Comidas;LA ROMANA & CO S A S;800124265;BOGOTA;BOGOTA D.C.;CRA 13 NO. 54-27;contabilidad@laromana.com.co
Comidas;COGA BURGUER SAS;901864717;BOGOTA;BOGOTA D.C.;CL 24 A NO. 56 35 BL 1 AP 901;recepcioncoga@outlook.com
Comidas;GRUPO SLAM SAS;900694108;BOGOTA;BOGOTA D.C.;CARRERA 11 A NO. 94 A - 23 OFICINA 108;gruposlamsas@gmail.com
Comidas;CASA GUAIBA SAS;901717306;BOGOTA;BOGOTA D.C.;Calle 75 A 29 A 27;casaguaiba.admi@gmail.com
Comidas;DELICIAS LOS CEDROS LTDA;900456976;BOGOTA;BOGOTA D.C.;AK 9 126 A 28  LC 002;deliciaslcl@gmail.com
Comidas;ALTA GASTELBONDO S.A.S;901316899;BOGOTA;BOGOTA D.C.;CR 1 ESTE NO. 72 A 66;contabilidadcart2019@gmail.com
Comidas;SAZÓN & SON SAS;901553861;BOGOTA;BOGOTA D.C.;CARRERA 8 C # 161 - 52 PISO 2;dmclavijor@gmail.com
Comidas;NENES PIZZA SAS;900694645;BOGOTA;BOGOTA D.C.;CR 7 A N°. 30 A SUR - 41 PISO 1;santyzaosorio@gmail.com
Comidas;VIVA BRASIL S A S;800081876;BOGOTA;BOGOTA D.C.;AV 19 NO. 114A-27;rodiziovivabrasil@gmail.com
Comidas;ISLA DEL MAR S.A.S;830043976;BOGOTA;BOGOTA D.C.;CARRERA 16 N° 58A-88;isladelmarltda@gmail.com
Comidas;INVERSIONES VSJM S.A.S;901725532;BOGOTA;BOGOTA D.C.;CL 126 NO. 48 35 AP 501;inversiones.vsjm@gmail.com
Comidas;CAMPO MESA Y COCINA S.A.S.;901910773;BOGOTA;BOGOTA D.C.;CL 86 NO. 10 88 OF 801;campomesaycocina@gmail.com
Comidas;ROCKETA EVENTOS SAS;901912175;BOGOTA;BOGOTA D.C.;CL 125 NO. 51 41 AP 303;lucas.cal.ch@gmail.com
Comidas;SAJA COCINA Y PASTELERÍA SAS;901924839;BOGOTA;BOGOTA D.C.;CL 97 NO. 21 62;sajacocinaypasteleria@gmail.com
Comidas;RESORT SIGUARAYA SAS;901906354;BOGOTA;BOGOTA D.C.;KM 24 VIA QUIBA ALTA;resort.siguaraya@gmail.com
Comidas;GRUPO CANNATELLA SAS;900469337;BOGOTA;BOGOTA D.C.;CR 39 NO. 25 A 55;reservascentralhousehotel@gmail.com
Comidas;AMANECER LJR SAS;901360301;BOGOTA;BOGOTA D.C.;CR 80 A NO. 65 30 SUR BOSA C;eroshostal@hotmail.com
Comidas;GRUPO RAPHAGA SAS;901752711;BOGOTA;BOGOTA D.C.;CL 93 NO. 13 A 28 LC 1;luisaballesteroscc@gmail.com
Comidas;CALAMARDO SAS;900537335;BOGOTA;BOGOTA D.C.;Calle 12 A 8 42 CALLE 12 A 8 46;marthapescadero@gmail.com
Comidas;INVERSIONES HOTELERAS HOTBOG SUCURSAL COLOMBIA;901135944;BOGOTA;BOGOTA D.C.;CARRERA 19 82 85 P8;fmilena@sterlingjoyeros.com
Comidas;GRUPO H&B S.A.S;901919555;BOGOTA;BOGOTA D.C.;Carrera 68 A 24 B 10 LOCAL 2-23;yilian.hernandezt@gmail.com
Comidas;PERROS EL GORDITO DE LA 3 SAS;901676587;BOGOTA;BOGOTA D.C.;AC 3 NO. 30 41;perroselgordito3@gmail.com
Comidas;NOCAIMA HOLDING SAS;901962993;BOGOTA;BOGOTA D.C.;CR 78 BIS NO. 75 A 74;jimmycruz21@gmail.com
Comidas;DDVMC SAS;901271264;BOGOTA;BOGOTA D.C.;CR 6 NO. 83 37 OF ST 201;parkingpointp@gmail.com
Comidas;MAR AZUL A SAS;901655181;BOGOTA;BOGOTA D.C.;CL 73 NO. 69 B 74;motelmarazul73@gmail.com
Comidas;SAN JOAQUÍN BIENES Y DESTINOS S.A.S.;901930905;BOGOTA;BOGOTA D.C.;CL 135 NO. 7 53 AP 303 TO 9;sanjoaquinbydsas@gmail.com
Comidas;ZONA F PROYECTOS EMPRESARIALES S A S;900685539;BOGOTA;BOGOTA D.C.;TV 70 NO. 108 59;rafael.acosta@fecel.org
Comidas;PIZZA JOINT S.A.S;901341732;BOGOTA;BOGOTA D.C.;CR 9 NO. 81 A 19;ph.pizza81@gmail.com
Comidas;HOTELES BOGOTA PLAZA S A;860046192;BOGOTA;BOGOTA D.C.;CLL 100 NO. 18A-30;jcontab@bogotaplazahotel.com
Comidas;LA MECHICANDELA SAS;901720437;BOGOTA;BOGOTA D.C.;CR 6 NO. 8 75;paulleonca@gmail.com
Comidas;INVERSIONES SAN DIEGO PIZZA S.A.S;901798431;BOGOTA;BOGOTA D.C.;CL 83 NO 103 C - 55 LC 102;romeromery.502@gmail.com
Comidas;SOMOS MASA SAS;900432416;BOGOTA;BOGOTA D.C.;CR 69B 17A 75;dircontabilidad@morangosa.com
Comidas;INVERSIONES EL CABALLO SAS;901395996;BOGOTA;BOGOTA D.C.;CL 108 NO. 48 31;elcaballosas@gmail.com
Comidas;GAMER RESTAURANT BAR SAS;901511616;BOGOTA;BOGOTA D.C.;Carrera 36 63 10;contabilidadlv17@gmail.com
Comidas;LA FRAGATA NORTE S.A.S.;860078767;BOGOTA;BOGOTA D.C.;CRA 9 NO. 77-19;lafragata@lafragata.com
Comidas;INVERSIONES GARAY MERCHAN SAS;901654412;BOGOTA;BOGOTA D.C.;CL 33 SUR # 39 - 20;zantorestaurante@gmail.com
Comidas;QUASARES S.A.S.;901847480;BOGOTA;BOGOTA D.C.;CL 166 BIS NO. 54 C - 63;info.legalquasares@gmail.com
Comidas;LE SALSE DI MARY S.A.S.;901972241;BOGOTA;BOGOTA D.C.;CL 70 A NO. 113 - 81;brunermaritza@gmail.com
Comidas;JOTA PRODUCCIONES CASA DE BANQUETES SAS;901860106;BOGOTA;BOGOTA D.C.;CR 14 R NO. 73 25 SUR;lb587106@gmail.com
Comidas;DELICIAS AMANDA SAS;900722214;BOGOTA;BOGOTA D.C.;CR 147 NO. 139 44;deliciasamanda028@yahoo.es
Comidas;LA CUEVA DEL BURGER AT SAS;901915300;BOGOTA;BOGOTA D.C.;CL 72 NO. 78 A 55 SUR;trianaa453@gmail.com
Comidas;CERHER INVERSIONES S.A.S;901412036;BOGOTA;BOGOTA D.C.;CRA 21 # 100 - 43;cerher.gerencia@gmail.com
Comidas;GP DISTRILICORES S.A.S;901917857;BOGOTA;BOGOTA D.C.;CR 16 NO. 26 44 SUR;gpdistrilicores@gmail.com
Comidas;OPERADORA INTEGRAL DE TURISMO Y GASTRONOMIA SAS;901813352;BOGOTA;BOGOTA D.C.;CL 12 NO. 10 61;gallegointegral2024@gmail.com
Comidas;INVERSIONES ROJAS PAEZ SAS;901255304;BOGOTA;BOGOTA D.C.;CL 70 A 89 A 24;inversionesrojasp@gmail.com
Comidas;INVERSIONES N&L S.A.S.;901831961;BOGOTA;BOGOTA D.C.;CR 54 NO. 44 - 06;luisa.montana1@gmail.com
Comidas;MULTIPLEX SOLUCIONES S.A.S;901364954;BOGOTA;BOGOTA D.C.;CARRERA 56#161-94 OFICINA 901;multiplexsolucionessas@gmail.com
Comidas;COLOMBIA STOCK SAS;900861025;BOGOTA;BOGOTA D.C.;Diagonal 34 BIS 18 26;ivandariobra@gmail.com
Comidas;PAST ART COLOMBIA SAS;901637728;BOGOTA;BOGOTA D.C.;CR 70 B NO. 102 33;pastartcolombia@gmail.com
Comidas;INVERSIONES INMOBILIARIA DECO S.A.S.;900164761;BOGOTA;BOGOTA D.C.;CLL 12C NO 2-36;reservas@hotelcasadeco.com
Comidas;REDES AGROINDUSTRIALES SAS;900710176;BOGOTA;BOGOTA D.C.;PREDIO LA VENTOLERA VIA RURAL EL DESAGUE;laventoleraeventos@gmail.com
Comidas;CASA AVENIDA JIMENEZ SAS;901735910;BOGOTA;BOGOTA D.C.;AV JIMENEZ NO. 4 - 69;casaavenidajimenez@gmail.com
Comidas;CATERING DEPOT S.A.S.;901830759;BOGOTA;BOGOTA D.C.;CL 134 D NO. 47 - 56;cateringdepotsas@gmail.com
Comidas;EL FARON GOURMET S.A.S.;900214568;BOGOTA;BOGOTA D.C.;CR 49D No. 87 22;freddybejaranoacosta@hotmail.com
Comidas;INTEGRAL DE ALIMENTOS Y BEBIDAS SAS;901921305;BOGOTA;BOGOTA D.C.;CL 15 SUR # 26 55;brasalimentossas@gmail.com
Comidas;HOTEL CALLE 94 S A S;901121478;BOGOTA;BOGOTA D.C.;CL 94 NO. 11 A 12;mrodriguez@oxohotel.com
Comidas;MARKETING Y SERVICIOS LOGISTICOS INTEGRALES SAS;900786344;BOGOTA;BOGOTA D.C.;Carrera 15 88 21 OFICINA 702 BARRIO EL V;marketingyservicios.sas@gmail.com
Comidas;BRA KAFFE SAS;901423982;BOGOTA;BOGOTA D.C.;CR 69 NO. 98 A 11 CC FLORESTA OUTLET LC;brakaffe10@gmail.com
Comidas;PETIT COMITE S.A.S;901907349;BOGOTA;BOGOTA D.C.;CR  6 # 67-63;contabilidad@petit-comite.co
Comidas;LOS TRES CAMINOS & CO SAS;901927772;BOGOTA;BOGOTA D.C.;CL 25 G NO. 73 C - 05;trescaminos22@gmail.com
Comidas;THP FACTORY SAS;901377159;BOGOTA;BOGOTA D.C.;CALLE 58A No 35A-10;gennys1117@gmail.com
Comidas;LECHONERIA MI CASITA TOLIMENSE S A S;900693995;BOGOTA;BOGOTA D.C.;AC 26 SUR NO. 51 D 61;germangarzon_g@live.com
Comidas;THE BOY DISTRIBUCIONES S.A.S;901661220;BOGOTA;BOGOTA D.C.;CL 70 A NO. 11 60;lortizposada26@gmail.com
Comidas;FE BAHA´I S.A.S.;901995777;BOGOTA;BOGOTA D.C.;CR 22 NO. 18 66 OF 233;gorito2908@gmail.com
Comidas;HOTEL JB MANSION SAS;901277880;BOGOTA;BOGOTA D.C.;CL 48   70   20;kandychome@hotmail.com
Comidas;ADS INVERGROUP SAS;900620322;BOGOTA;BOGOTA D.C.;CR 7 NO. 17-01 OF 1047;tenampa3@gmail.com
Comidas;LA DESPENSA DE QUINTACAMACHO SAS;901018657;BOGOTA;BOGOTA D.C.;CALLE 70 A NO. 9-95;aviolip@gmail.com
Comidas;GRUPO FEED SAS;901469871;BOGOTA;BOGOTA D.C.;CR 7 A NO. 155 A 26;fermentto.co@gmail.com
Comidas;ALPHA DISCO BAR S.A.S;901756672;BOGOTA;BOGOTA D.C.;Carrera 9 58 21;alphadiscobar@gmail.com
Comidas;GRUPO DAS SAS;901648505;BOGOTA;BOGOTA D.C.;CL 157 A NO. 92 80 AP 505 T 2 ED OVIEDO;grupodasvs@gmail.com
Comidas;TOPIN POSTRES Y HELADOS SAS;901867527;BOGOTA;BOGOTA D.C.;CL 152 NO. 72 - 50;pilarmendez09@gmail.com
Comidas;OPTIMUS HOTELES & RESORTS DE COLOMBIA SAS;900950129;BOGOTA;BOGOTA D.C.;CR 58 A NO. 135 04 AP 504;ademulder@hotmail.com
Comidas;ENCOUNTER JAPAN COLOMBIA S.A.S;901702639;BOGOTA;BOGOTA D.C.;CL 65 # 4A - 54 LC 2;k.ogawa@encounter-japan.com
Comidas;TRUJILLO & MONTERO Y ASOCIADOS SAS;901210280;BOGOTA;BOGOTA D.C.;CR 49 B NO. 170 31;nicolastrmo@outlook.com
Comidas;CHALET ANDINO SAS;901120500;BOGOTA;BOGOTA D.C.;CL 109 NO. 19 B 11;jcguaquetah@gmail.com
Comidas;VERUM & CO S.A.S;901989333;BOGOTA;BOGOTA D.C.;Calle 151 111 A 87 CASA 22;verum.co182@gmail.com
Comidas;HACIENDA CASA BETANIA SAS;901862731;BOGOTA;BOGOTA D.C.;CL 12 NO. 38 21 ED PLUS 38 AP 304;haciendacasabetania@gmail.com
Comidas;BEBIDAS NATURALES SAS;901849685;BOGOTA;BOGOTA D.C.;CL 74 C NO. 69 B 49;nativosuniversidadexternado@gmail.com
Comidas;LEUROZ SAS;900539737;BOGOTA;BOGOTA D.C.;CARRERA 13 No 63 - 39 LOCA 4 EDIFICIO SE;leurozsas@gmail.com
Comidas;INVERSIONES CASABRAVA S.A.S.;800038270;BOGOTA;BOGOTA D.C.;KM 4.5 VIA LA CALERA;restcasabravakm4.5@gmail.com
Comidas;GLAM LA MAR SAS;901688642;BOGOTA;BOGOTA D.C.;CR 7 NO. 81 26 AP 301;ovallitocarlos@gmail.com
Comidas;BESTAY S.A.S;901410372;BOGOTA;BOGOTA D.C.;Carrera 45 A 94 66 APARTAMENTO 314;contacto@bestay.com.co
Comidas;INVERSIONES SAUDADE S.A.S.;900752459;BOGOTA;BOGOTA D.C.;CL 20 NO. 3 29 ESTE LC 1;restaurante@saudade.com.co
Comidas;GLADSTHER SAS;901802918;BOGOTA;BOGOTA D.C.;CR 12 A NO. 77 A 52 OF 701;gladsthersas@gmail.com
Comidas;IL PRANZO DI CLAUDIAA SAS;901911841;BOGOTA;BOGOTA D.C.;CL 85 SUR NO. 91 91;hurbclaudia@gmail.com
Comidas;INVERSIONES LA IBERICA SAS;900896647;BOGOTA;BOGOTA D.C.;CL 83 NO. 14 A 07 LC;friquelme@europagastronomie.com
Comidas;MODELIA LIVING & PARKING SAS;901894174;BOGOTA;BOGOTA D.C.;AC 24 NO. 74 A 44 SEXTO PISO;modelialiving@gmail.com
Comidas;LA CAPITALINA S A S;900982789;BOGOTA;BOGOTA D.C.;Calle 86A No 13A-09 OFI 702;lacapitalina2016@gmail.com
Comidas;UNIVERSAL CAFE RESTAURANTE SAS;900859016;BOGOTA;BOGOTA D.C.;CL 65 NO. 4 A - 76;jrodriguez@aspraco.com
Comidas;VIEW SOLUCIONES SAS;901938451;BOGOTA;BOGOTA D.C.;CALLE 164 # 20 09;sandra.pena@viewdigitales.com
Comidas;HOGAR DE PASO JESUS DE LA BUENA ESPERANZA S.A.S;901650372;BOGOTA;BOGOTA D.C.;CL 49 NO. 19 33 Y 37;ceyaguester@hotmail.com
Comidas;HOSTAL LA PACHAMAMA COLOMBIA S.A.S.;901933103;BOGOTA;BOGOTA D.C.;CL 113 NO. 7 21 TO A OF 906;buchhagen@vondilaw.com
